// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 10 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49\obj\Release\net8.0/" /p:OutDir="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49\bin\Release\net8.0/" /p:OutputPath="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49\bin\Release\net8.0/" in C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49
// command took 1.9 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49\obj\Release\net8.0/" /p:OutDir="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49\bin\Release\net8.0/" /p:OutputPath="C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49\bin\Release\net8.0/" --output "C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49\bin\Release\net8.0/" in C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49
// command took 7 sec and exited with 0
// ***** Done, took 00:00:09 (9.08 sec)   *****
// Found 10 benchmarks:
//   InsertionSort_Benchmarks.SortAscending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=10]
//   InsertionSort_Benchmarks.SortDescending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=10]
//   InsertionSort_Benchmarks.SortAscending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=100]
//   InsertionSort_Benchmarks.SortDescending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=100]
//   InsertionSort_Benchmarks.SortAscending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=1000]
//   InsertionSort_Benchmarks.SortDescending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=1000]
//   InsertionSort_Benchmarks.SortAscending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=10000]
//   InsertionSort_Benchmarks.SortDescending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=10000]
//   InsertionSort_Benchmarks.SortAscending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=100000]
//   InsertionSort_Benchmarks.SortDescending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=100000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Hoge prestaties)
// **************************
// Benchmark: InsertionSort_Benchmarks.SortAscending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet fdf217e8-556d-44e3-9cc7-d676a863fa49.dll --anonymousPipes 1104 1272 --benchmarkName "ADP_Implementations_Benchmarks.InsertionSort_Benchmarks.SortAscending(N: 10)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.10 (8.0.1024.46610), X64 RyuJIT AVX-512F+CD+BW+DQ+VL+VBMI
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX-512F+CD+BW+DQ+VL+VBMI,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-HSPZQV(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 158900.00 ns, 158.9000 us/op
WorkloadActual  58: 1 op, 19100.00 ns, 19.1000 us/op
WorkloadActual  59: 1 op, 35000.00 ns, 35.0000 us/op
WorkloadActual  60: 1 op, 17700.00 ns, 17.7000 us/op
WorkloadActual  61: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual  62: 1 op, 22000.00 ns, 22.0000 us/op
WorkloadActual  63: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadActual  64: 1 op, 31300.00 ns, 31.3000 us/op
WorkloadActual  65: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadActual  66: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadActual  67: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadActual  68: 1 op, 17700.00 ns, 17.7000 us/op
WorkloadActual  69: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadActual  70: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadActual  71: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadActual  72: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadActual  73: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadActual  74: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadActual  75: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadActual  76: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadActual  77: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadActual  78: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadActual  79: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadActual  80: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadActual  81: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadActual  82: 1 op, 27300.00 ns, 27.3000 us/op
WorkloadActual  83: 1 op, 22200.00 ns, 22.2000 us/op
WorkloadActual  84: 1 op, 38700.00 ns, 38.7000 us/op
WorkloadActual  85: 1 op, 20400.00 ns, 20.4000 us/op
WorkloadActual  86: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadActual  87: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadActual  88: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadActual  89: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadActual  90: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  91: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadActual  92: 1 op, 45800.00 ns, 45.8000 us/op
WorkloadActual  93: 1 op, 24700.00 ns, 24.7000 us/op
WorkloadActual  94: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadActual  95: 1 op, 22300.00 ns, 22.3000 us/op
WorkloadActual  96: 1 op, 24400.00 ns, 24.4000 us/op
WorkloadActual  97: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadActual  98: 1 op, 24900.00 ns, 24.9000 us/op
WorkloadActual  99: 1 op, 25400.00 ns, 25.4000 us/op
WorkloadActual  100: 1 op, 18800.00 ns, 18.8000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 30700.00 ns, 30.7000 us/op
WorkloadResult   2: 1 op, 25400.00 ns, 25.4000 us/op
WorkloadResult   3: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadResult   4: 1 op, 26000.00 ns, 26.0000 us/op
WorkloadResult   5: 1 op, 22200.00 ns, 22.2000 us/op
WorkloadResult   6: 1 op, 20500.00 ns, 20.5000 us/op
WorkloadResult   7: 1 op, 26400.00 ns, 26.4000 us/op
WorkloadResult   8: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadResult   9: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadResult  10: 1 op, 23700.00 ns, 23.7000 us/op
WorkloadResult  11: 1 op, 20400.00 ns, 20.4000 us/op
WorkloadResult  12: 1 op, 20600.00 ns, 20.6000 us/op
WorkloadResult  13: 1 op, 20400.00 ns, 20.4000 us/op
WorkloadResult  14: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadResult  15: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadResult  16: 1 op, 20300.00 ns, 20.3000 us/op
WorkloadResult  17: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadResult  18: 1 op, 21200.00 ns, 21.2000 us/op
WorkloadResult  19: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadResult  20: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadResult  21: 1 op, 21200.00 ns, 21.2000 us/op
WorkloadResult  22: 1 op, 21700.00 ns, 21.7000 us/op
WorkloadResult  23: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadResult  24: 1 op, 19000.00 ns, 19.0000 us/op
WorkloadResult  25: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadResult  26: 1 op, 25600.00 ns, 25.6000 us/op
WorkloadResult  27: 1 op, 24000.00 ns, 24.0000 us/op
WorkloadResult  28: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadResult  29: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadResult  30: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadResult  31: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadResult  32: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadResult  33: 1 op, 20700.00 ns, 20.7000 us/op
WorkloadResult  34: 1 op, 22100.00 ns, 22.1000 us/op
WorkloadResult  35: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadResult  36: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadResult  37: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadResult  38: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadResult  39: 1 op, 25000.00 ns, 25.0000 us/op
WorkloadResult  40: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadResult  41: 1 op, 23600.00 ns, 23.6000 us/op
WorkloadResult  42: 1 op, 21000.00 ns, 21.0000 us/op
WorkloadResult  43: 1 op, 20000.00 ns, 20.0000 us/op
WorkloadResult  44: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadResult  45: 1 op, 26500.00 ns, 26.5000 us/op
WorkloadResult  46: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadResult  47: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadResult  48: 1 op, 25100.00 ns, 25.1000 us/op
WorkloadResult  49: 1 op, 18800.00 ns, 18.8000 us/op
WorkloadResult  50: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadResult  51: 1 op, 19600.00 ns, 19.6000 us/op
WorkloadResult  52: 1 op, 18900.00 ns, 18.9000 us/op
WorkloadResult  53: 1 op, 23400.00 ns, 23.4000 us/op
WorkloadResult  54: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadResult  55: 1 op, 18900.00 ns, 18.9000 us/op
WorkloadResult  56: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadResult  57: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadResult  58: 1 op, 21800.00 ns, 21.8000 us/op
WorkloadResult  59: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadResult  60: 1 op, 31100.00 ns, 31.1000 us/op
WorkloadResult  61: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadResult  62: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadResult  63: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadResult  64: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadResult  65: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadResult  66: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult  67: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadResult  68: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadResult  69: 1 op, 17700.00 ns, 17.7000 us/op
WorkloadResult  70: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadResult  71: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadResult  72: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadResult  73: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadResult  74: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadResult  75: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadResult  76: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadResult  77: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadResult  78: 1 op, 27100.00 ns, 27.1000 us/op
WorkloadResult  79: 1 op, 22000.00 ns, 22.0000 us/op
WorkloadResult  80: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadResult  81: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadResult  82: 1 op, 25100.00 ns, 25.1000 us/op
WorkloadResult  83: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadResult  84: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadResult  85: 1 op, 22800.00 ns, 22.8000 us/op
WorkloadResult  86: 1 op, 21700.00 ns, 21.7000 us/op
WorkloadResult  87: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadResult  88: 1 op, 22700.00 ns, 22.7000 us/op
WorkloadResult  89: 1 op, 22100.00 ns, 22.1000 us/op
WorkloadResult  90: 1 op, 24200.00 ns, 24.2000 us/op
WorkloadResult  91: 1 op, 24300.00 ns, 24.3000 us/op
WorkloadResult  92: 1 op, 24700.00 ns, 24.7000 us/op
WorkloadResult  93: 1 op, 25200.00 ns, 25.2000 us/op
WorkloadResult  94: 1 op, 18600.00 ns, 18.6000 us/op
// GC:  0 0 0 64 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 9672 has exited with code 0.

Mean = 21.067 μs, StdErr = 0.315 μs (1.50%), N = 94, StdDev = 3.057 μs
Min = 17.400 μs, Q1 = 18.300 μs, Median = 20.350 μs, Q3 = 22.875 μs, Max = 31.100 μs
IQR = 4.575 μs, LowerFence = 11.438 μs, UpperFence = 29.738 μs
ConfidenceInterval = [19.995 μs; 22.139 μs] (CI 99.9%), Margin = 1.072 μs (5.09% of Mean)
Skewness = 0.89, Kurtosis = 3.44, MValue = 3.41

// ** Remained 7 (70,0%) benchmark(s) to run. Estimated finish 2024-12-20 23:12 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Hoge prestaties)
// **************************
// Benchmark: InsertionSort_Benchmarks.SortDescending: Job-ICJEUZ(InvocationCount=1, UnrollFactor=1) [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet fdf217e8-556d-44e3-9cc7-d676a863fa49.dll --anonymousPipes 2200 2204 --benchmarkName "ADP_Implementations_Benchmarks.InsertionSort_Benchmarks.SortDescending(N: 100)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 3 in C:\_UserData\GitHub\Repos\adp\ADP_Implementations_Benchmarks\bin\Release\net8.0\fdf217e8-556d-44e3-9cc7-d676a863fa49\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.10 (8.0.1024.46610), X64 RyuJIT AVX-512F+CD+BW+DQ+VL+VBMI
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX-512F+CD+BW+DQ+VL+VBMI,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-ZTPNQR(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 143500.00 ns, 143.5000 us/op
WorkloadJitting  1: 1 op, 763500.00 ns, 763.5000 us/op

OverheadWarmup   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op

OverheadActual   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  13: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  14: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  15: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  16: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  19: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  20: 1 op, 100.00 ns, 100.0000 ns/op

WorkloadWarmup   1: 1 op, 35700.00 ns, 35.7000 us/op
WorkloadWarmup   2: 1 op, 31200.00 ns, 31.2000 us/op
WorkloadWarmup   3: 1 op, 40900.00 ns, 40.9000 us/op
WorkloadWarmup   4: 1 op, 719700.00 ns, 719.7000 us/op
WorkloadWarmup   5: 1 op, 20800.00 ns, 20.8000 us/op
WorkloadWarmup   6: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadWarmup   7: 1 op, 35300.00 ns, 35.3000 us/op
WorkloadWarmup   8: 1 op, 23300.00 ns, 23.3000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 20000.00 ns, 20.0000 us/op
WorkloadActual   2: 1 op, 19200.00 ns, 19.2000 us/op
WorkloadActual   3: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadActual   4: 1 op, 27900.00 ns, 27.9000 us/op
WorkloadActual   5: 1 op, 21800.00 ns, 21.8000 us/op
WorkloadActual   6: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadActual   7: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadActual   8: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadActual   9: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadActual  10: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadActual  11: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadActual  12: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadActual  13: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadActual  14: 1 op, 22000.00 ns, 22.0000 us/op
WorkloadActual  15: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadActual  16: 1 op, 24000.00 ns, 24.0000 us/op
WorkloadActual  17: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadActual  18: 1 op, 19800.00 ns, 19.8000 us/op
WorkloadActual  19: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadActual  20: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadActual  21: 1 op, 17700.00 ns, 17.7000 us/op
WorkloadActual  22: 1 op, 17000.00 ns, 17.0000 us/op
WorkloadActual  23: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadActual  24: 1 op, 29000.00 ns, 29.0000 us/op
WorkloadActual  25: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadActual  26: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadActual  27: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual  28: 1 op, 28300.00 ns, 28.3000 us/op
WorkloadActual  29: 1 op, 16700.00 ns, 16.7000 us/op
WorkloadActual  30: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadActual  31: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadActual  32: 1 op, 15300.00 ns, 15.3000 us/op
WorkloadActual  33: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadActual  34: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadActual  35: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadActual  36: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadActual  37: 1 op, 19300.00 ns, 19.3000 us/op
WorkloadActual  38: 1 op, 24100.00 ns, 24.1000 us/op
WorkloadActual  39: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadActual  40: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadActual  41: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadActual  42: 1 op, 21200.00 ns, 21.2000 us/op
WorkloadActual  43: 1 op, 17700.00 ns, 17.7000 us/op
WorkloadActual  44: 1 op, 17700.00 ns, 17.7000 us/op
WorkloadActual  45: 1 op, 30200.00 ns, 30.2000 us/op
WorkloadActual  46: 1 op, 22300.00 ns, 22.3000 us/op
WorkloadActual  47: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadActual  48: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadActual  49: 1 op, 20300.00 ns, 20.3000 us/op
WorkloadActual  50: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadActual  51: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadActual  52: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadActual  53: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadActual  54: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadActual  55: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadActual  56: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadActual  57: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadActual  58: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadActual  59: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadActual  60: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadActual  61: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadActual  62: 1 op, 24600.00 ns, 24.6000 us/op
WorkloadActual  63: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadActual  64: 1 op, 21200.00 ns, 21.2000 us/op
WorkloadActual  65: 1 op, 22300.00 ns, 22.3000 us/op
WorkloadActual  66: 1 op, 21000.00 ns, 21.0000 us/op
WorkloadActual  67: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadActual  68: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadActual  69: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual  70: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadActual  71: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadActual  72: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadActual  73: 1 op, 17700.00 ns, 17.7000 us/op
WorkloadActual  74: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadActual  75: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadActual  76: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadActual  77: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual  78: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadActual  79: 1 op, 16700.00 ns, 16.7000 us/op
WorkloadActual  80: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadActual  81: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadActual  82: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadActual  83: 1 op, 15800.00 ns, 15.8000 us/op
WorkloadActual  84: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadActual  85: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadActual  86: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadActual  87: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadActual  88: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadActual  89: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadActual  90: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadActual  91: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadActual  92: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadActual  93: 1 op, 17000.00 ns, 17.0000 us/op
WorkloadActual  94: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadActual  95: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadActual  96: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadActual  97: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadActual  98: 1 op, 17000.00 ns, 17.0000 us/op
WorkloadActual  99: 1 op, 17000.00 ns, 17.0000 us/op
WorkloadActual  100: 1 op, 17500.00 ns, 17.5000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 19800.00 ns, 19.8000 us/op
WorkloadResult   2: 1 op, 19000.00 ns, 19.0000 us/op
WorkloadResult   3: 1 op, 19300.00 ns, 19.3000 us/op
WorkloadResult   4: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadResult   5: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadResult   6: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadResult   7: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadResult   8: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadResult   9: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadResult  10: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadResult  11: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadResult  12: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadResult  13: 1 op, 21800.00 ns, 21.8000 us/op
WorkloadResult  14: 1 op, 21700.00 ns, 21.7000 us/op
WorkloadResult  15: 1 op, 23800.00 ns, 23.8000 us/op
WorkloadResult  16: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadResult  17: 1 op, 19600.00 ns, 19.6000 us/op
WorkloadResult  18: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadResult  19: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadResult  20: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadResult  21: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadResult  22: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadResult  23: 1 op, 17000.00 ns, 17.0000 us/op
WorkloadResult  24: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadResult  25: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadResult  26: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadResult  27: 1 op, 16600.00 ns, 16.6000 us/op
WorkloadResult  28: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadResult  29: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadResult  30: 1 op, 16100.00 ns, 16.1000 us/op
WorkloadResult  31: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadResult  32: 1 op, 15800.00 ns, 15.8000 us/op
WorkloadResult  33: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadResult  34: 1 op, 19100.00 ns, 19.1000 us/op
WorkloadResult  35: 1 op, 23900.00 ns, 23.9000 us/op
WorkloadResult  36: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadResult  37: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadResult  38: 1 op, 20700.00 ns, 20.7000 us/op
WorkloadResult  39: 1 op, 21000.00 ns, 21.0000 us/op
WorkloadResult  40: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadResult  41: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadResult  42: 1 op, 22100.00 ns, 22.1000 us/op
